"features" "activities" "subjects" "mean"
"TimeOfBodyAcc-mean-Z" "STANDING" 20 -0.664686126178788
"TimeOfBodyAcc-mean-Z" "LAYING" 20 -0.558927263470513
"TimeOfBodyAcc-mean-Z" "LAYING" 24 -0.730461517410499
"TimeOfBodyAcc-std-X" "WALKING" 2 -0.599663528164238
"TimeOfBodyAcc-std-X" "WALKING" 4 -0.704335264270103
"TimeOfBodyAcc-std-X" "WALKING_UPSTAIRS" 4 -0.522601009021138
"TimeOfBodyAcc-std-X" "WALKING_UPSTAIRS" 9 -0.702387444652778
"TimeOfBodyAcc-std-X" "WALKING_UPSTAIRS" 10 -0.971378256333333
"TimeOfBodyAcc-std-X" "WALKING_DOWNSTAIRS" 10 -0.542655972198889
"TimeOfBodyAcc-std-X" "WALKING_DOWNSTAIRS" 12 -0.71998383177957
"TimeOfBodyAcc-std-X" "SITTING" 12 -0.538874716725149
"TimeOfBodyAcc-std-X" "SITTING" 13 -0.635646325329358
"TimeOfBodyAcc-std-X" "SITTING" 18 -0.971380022
"TimeOfBodyAcc-std-X" "STANDING" 18 -0.724510209820359
"TimeOfBodyAcc-std-X" "STANDING" 20 -0.684798710032374
"TimeOfBodyAcc-std-X" "LAYING" 20 -0.556298771117756
"TimeOfBodyAcc-std-X" "LAYING" 24 -0.742046545249344
"TimeOfBodyAcc-std-Y" "WALKING" 2 -0.760774028887417
"TimeOfBodyAcc-std-Y" "WALKING" 4 -0.84679319072165
"TimeOfBodyAcc-std-Y" "WALKING_UPSTAIRS" 4 -0.790071740731707
"TimeOfBodyAcc-std-Y" "WALKING_UPSTAIRS" 9 -0.727972433298611
"TimeOfBodyAcc-std-Y" "WALKING_UPSTAIRS" 10 -0.984629542833333
"TimeOfBodyAcc-std-Y" "WALKING_DOWNSTAIRS" 10 -0.710232495055556
"TimeOfBodyAcc-std-Y" "WALKING_DOWNSTAIRS" 12 -0.798620446451613
"TimeOfBodyAcc-std-Y" "SITTING" 12 -0.815262159776119
"TimeOfBodyAcc-std-Y" "SITTING" 13 -0.735146879107034
"TimeOfBodyAcc-std-Y" "SITTING" 18 -0.985894081333333
"TimeOfBodyAcc-std-Y" "STANDING" 18 -0.842283354580838
"TimeOfBodyAcc-std-Y" "STANDING" 20 -0.759632122929293
"TimeOfBodyAcc-std-Y" "LAYING" 20 -0.730166470448718
"TimeOfBodyAcc-std-Y" "LAYING" 24 -0.748800003490814
"TimeOfBodyAcc-std-Z" "WALKING" 2 -0.012722577039404
"TimeOfBodyAcc-std-Z" "WALKING" 4 -0.0820344322474227
"TimeOfBodyAcc-std-Z" "WALKING_UPSTAIRS" 4 0.180618260162602
"TimeOfBodyAcc-std-Z" "WALKING_UPSTAIRS" 9 0.0475662914409722
"TimeOfBodyAcc-std-Z" "WALKING_UPSTAIRS" 10 -0.6521500505
"TimeOfBodyAcc-std-Z" "WALKING_DOWNSTAIRS" 10 0.144207763017521
"TimeOfBodyAcc-std-Z" "WALKING_DOWNSTAIRS" 12 -0.0293709159731183
"TimeOfBodyAcc-std-Z" "SITTING" 12 0.139580039619403
"TimeOfBodyAcc-std-Z" "SITTING" 13 -0.0878217816513761
"TimeOfBodyAcc-std-Z" "SITTING" 18 -0.749234524
"TimeOfBodyAcc-std-Z" "STANDING" 18 -0.0550413410179641
"TimeOfBodyAcc-std-Z" "STANDING" 20 -0.129931756166667
"TimeOfBodyAcc-std-Z" "LAYING" 20 -0.062159522449359
"TimeOfBodyAcc-std-Z" "LAYING" 24 -0.101557376818898
"TimeOfGravityAcc-mean-X" "WALKING" 2 0.535464604613609
"TimeOfGravityAcc-mean-X" "WALKING" 4 0.619076962216495
"TimeOfGravityAcc-mean-X" "WALKING_UPSTAIRS" 4 0.575033553739837
"TimeOfGravityAcc-mean-X" "WALKING_UPSTAIRS" 9 0.524386309368056
"TimeOfGravityAcc-mean-X" "WALKING_UPSTAIRS" 10 0.805222717166667
"TimeOfGravityAcc-mean-X" "WALKING_DOWNSTAIRS" 10 0.437655217517094
"TimeOfGravityAcc-mean-X" "WALKING_DOWNSTAIRS" 12 0.574601504306452
"TimeOfGravityAcc-mean-X" "SITTING" 12 0.564873446855224
"TimeOfGravityAcc-mean-X" "SITTING" 13 0.565791571669725
"TimeOfGravityAcc-mean-X" "SITTING" 18 0.80499679
"TimeOfGravityAcc-mean-X" "STANDING" 18 0.624280783179641
"TimeOfGravityAcc-mean-X" "STANDING" 20 0.468331386974747
"TimeOfGravityAcc-mean-X" "LAYING" 20 0.392707776326923
"TimeOfGravityAcc-mean-X" "LAYING" 24 0.592518776667717
"TimeOfGravityAcc-mean-Y" "WALKING" 2 -0.60952847611755
"TimeOfGravityAcc-mean-Y" "WALKING" 4 -0.709733541134021
"TimeOfGravityAcc-mean-Y" "WALKING_UPSTAIRS" 4 -0.580816988292683
"TimeOfGravityAcc-mean-Y" "WALKING_UPSTAIRS" 9 -0.54954184606875
"TimeOfGravityAcc-mean-Y" "WALKING_UPSTAIRS" 10 -0.950040652666667
"TimeOfGravityAcc-mean-Y" "WALKING_DOWNSTAIRS" 10 -0.407312551840184
"TimeOfGravityAcc-mean-Y" "WALKING_DOWNSTAIRS" 12 -0.658555090672043
"TimeOfGravityAcc-mean-Y" "SITTING" 12 -0.588967300756716
"TimeOfGravityAcc-mean-Y" "SITTING" 13 -0.575831578464832
"TimeOfGravityAcc-mean-Y" "SITTING" 18 -0.954532578
"TimeOfGravityAcc-mean-Y" "STANDING" 18 -0.691859923083832
"TimeOfGravityAcc-mean-Y" "STANDING" 20 -0.576309327193939
"TimeOfGravityAcc-mean-Y" "LAYING" 20 -0.428993353994615
"TimeOfGravityAcc-mean-Y" "LAYING" 24 -0.680878142800525
"TimeOfGravityAcc-mean-Z" "WALKING" 2 -0.903352952251656
"TimeOfGravityAcc-mean-Z" "WALKING" 4 -0.930936868247423
"TimeOfGravityAcc-mean-Z" "WALKING_UPSTAIRS" 4 -0.865449376747967
"TimeOfGravityAcc-mean-Z" "WALKING_UPSTAIRS" 9 -0.8852438809375
"TimeOfGravityAcc-mean-Z" "WALKING_UPSTAIRS" 10 -0.998048663166667
"TimeOfGravityAcc-mean-Z" "WALKING_DOWNSTAIRS" 10 -0.845506962350427
"TimeOfGravityAcc-mean-Z" "WALKING_DOWNSTAIRS" 12 -0.925234599193548
"TimeOfGravityAcc-mean-Z" "SITTING" 12 -0.88632972358209
"TimeOfGravityAcc-mean-Z" "SITTING" 13 -0.897418262782875
"TimeOfGravityAcc-mean-Z" "SITTING" 18 -0.997794313333333
"TimeOfGravityAcc-mean-Z" "STANDING" 18 -0.941138501856287
"TimeOfGravityAcc-mean-Z" "STANDING" 20 -0.900732192676768
"TimeOfGravityAcc-mean-Z" "LAYING" 20 -0.854475425320513
"TimeOfGravityAcc-mean-Z" "LAYING" 24 -0.930746147427822
"TimeOfGravityAcc-std-X" "WALKING" 2 -0.924832467483444
"TimeOfGravityAcc-std-X" "WALKING" 4 -0.971338638917526
"TimeOfGravityAcc-std-X" "WALKING_UPSTAIRS" 4 -0.952247042764228
"TimeOfGravityAcc-std-X" "WALKING_UPSTAIRS" 9 -0.901808866180555
"TimeOfGravityAcc-std-X" "WALKING_UPSTAIRS" 10 -0.998484883
"TimeOfGravityAcc-std-X" "WALKING_DOWNSTAIRS" 10 -0.784590802948718
"TimeOfGravityAcc-std-X" "WALKING_DOWNSTAIRS" 12 -0.949266970537634
"TimeOfGravityAcc-std-X" "SITTING" 12 -0.909874181641791
"TimeOfGravityAcc-std-X" "SITTING" 13 -0.871937721070336
"TimeOfGravityAcc-std-X" "SITTING" 18 -0.999527390666667
"TimeOfGravityAcc-std-X" "STANDING" 18 -0.942480173532934
"TimeOfGravityAcc-std-X" "STANDING" 20 -0.856834176363636
"TimeOfGravityAcc-std-X" "LAYING" 20 -0.72462162746859
"TimeOfGravityAcc-std-X" "LAYING" 24 -0.944205910419948
"TimeOfGravityAcc-std-Y" "WALKING" 2 -0.869695619705298
"TimeOfGravityAcc-std-Y" "WALKING" 4 -0.936199281649485
"TimeOfGravityAcc-std-Y" "WALKING_UPSTAIRS" 4 -0.926985618699187
"TimeOfGravityAcc-std-Y" "WALKING_UPSTAIRS" 9 -0.8500811578125
"TimeOfGravityAcc-std-Y" "WALKING_UPSTAIRS" 10 -0.986949707833333
"TimeOfGravityAcc-std-Y" "WALKING_DOWNSTAIRS" 10 -0.807511530384615
"TimeOfGravityAcc-std-Y" "WALKING_DOWNSTAIRS" 12 -0.87844996
"TimeOfGravityAcc-std-Y" "SITTING" 12 -0.924786292537313
"TimeOfGravityAcc-std-Y" "SITTING" 13 -0.879044648195719
"TimeOfGravityAcc-std-Y" "SITTING" 18 -0.998788306666667
"TimeOfGravityAcc-std-Y" "STANDING" 18 -0.928796488772455
"TimeOfGravityAcc-std-Y" "STANDING" 20 -0.809623253131313
"TimeOfGravityAcc-std-Y" "LAYING" 20 -0.716078429666667
"TimeOfGravityAcc-std-Y" "LAYING" 24 -0.912469741207349
"TimeOfGravityAcc-std-Z" "WALKING" 2 0.318318460882285
"TimeOfGravityAcc-std-Z" "WALKING" 4 0.453226203384897
"TimeOfGravityAcc-std-Z" "WALKING_UPSTAIRS" 4 0.303204263150406
"TimeOfGravityAcc-std-Z" "WALKING_UPSTAIRS" 9 0.471525893135417
"TimeOfGravityAcc-std-Z" "WALKING_UPSTAIRS" 10 0.666173075833333
"TimeOfGravityAcc-std-Z" "WALKING_DOWNSTAIRS" 10 0.346069114414103
"TimeOfGravityAcc-std-Z" "WALKING_DOWNSTAIRS" 12 0.434323663833333
"TimeOfGravityAcc-std-Z" "SITTING" 12 0.301347960314478
"TimeOfGravityAcc-std-Z" "SITTING" 13 0.36632507915948
"TimeOfGravityAcc-std-Z" "SITTING" 18 0.663342909666667
"TimeOfGravityAcc-std-Z" "STANDING" 18 0.466524345727545
"TimeOfGravityAcc-std-Z" "STANDING" 20 0.357890644616162
"TimeOfGravityAcc-std-Z" "LAYING" 20 0.2412771035
"TimeOfGravityAcc-std-Z" "LAYING" 24 0.421266969699528
"TimeOfBodyAccJerk-mean-X" "WALKING" 2 -0.799020682490066
"TimeOfBodyAccJerk-mean-X" "WALKING" 4 -0.925890030309278
"TimeOfBodyAccJerk-mean-X" "WALKING_UPSTAIRS" 4 -0.915030320406504
"TimeOfBodyAccJerk-mean-X" "WALKING_UPSTAIRS" 9 -0.792998381527778
"TimeOfBodyAccJerk-mean-X" "WALKING_UPSTAIRS" 10 -0.982293628166667
"TimeOfBodyAccJerk-mean-X" "WALKING_DOWNSTAIRS" 10 -0.760696876367521
"TimeOfBodyAccJerk-mean-X" "WALKING_DOWNSTAIRS" 12 -0.848021868387097
"TimeOfBodyAccJerk-mean-X" "SITTING" 12 -0.798309339104478
"TimeOfBodyAccJerk-mean-X" "SITTING" 13 -0.741594964604281
"TimeOfBodyAccJerk-mean-X" "SITTING" 18 -0.992296813
"TimeOfBodyAccJerk-mean-X" "STANDING" 18 -0.887976718802395
"TimeOfBodyAccJerk-mean-X" "STANDING" 20 -0.725338899773737
"TimeOfBodyAccJerk-mean-X" "LAYING" 20 -0.723762836525641
"TimeOfBodyAccJerk-mean-X" "LAYING" 24 -0.810874813622047
"TimeOfBodyAccJerk-mean-Y" "WALKING" 2 -0.639559744541921
"TimeOfBodyAccJerk-mean-Y" "WALKING" 4 -0.798548491134021
"TimeOfBodyAccJerk-mean-Y" "WALKING_UPSTAIRS" 4 -0.676631901105691
"TimeOfBodyAccJerk-mean-Y" "WALKING_UPSTAIRS" 9 -0.721247680121528
"TimeOfBodyAccJerk-mean-Y" "WALKING_UPSTAIRS" 10 -0.975953620833333
"TimeOfBodyAccJerk-mean-Y" "WALKING_DOWNSTAIRS" 10 -0.605235818500427
"TimeOfBodyAccJerk-mean-Y" "WALKING_DOWNSTAIRS" 12 -0.770721991935484
"TimeOfBodyAccJerk-mean-Y" "SITTING" 12 -0.658009407511194
"TimeOfBodyAccJerk-mean-Y" "SITTING" 13 -0.731024044446483
"TimeOfBodyAccJerk-mean-Y" "SITTING" 18 -0.979744101333333
"TimeOfBodyAccJerk-mean-Y" "STANDING" 18 -0.823953921227545
"TimeOfBodyAccJerk-mean-Y" "STANDING" 20 -0.735169737892677
"TimeOfBodyAccJerk-mean-Y" "LAYING" 20 -0.553762895333333
"TimeOfBodyAccJerk-mean-Y" "LAYING" 24 -0.812513306666667
"TimeOfBodyAccJerk-mean-Z" "WALKING" 2 0.660641317125828
"TimeOfBodyAccJerk-mean-Z" "WALKING" 4 0.805465869948454
"TimeOfBodyAccJerk-mean-Z" "WALKING_UPSTAIRS" 4 0.688708985447155
"TimeOfBodyAccJerk-mean-Z" "WALKING_UPSTAIRS" 9 0.7996786880625
"TimeOfBodyAccJerk-mean-Z" "WALKING_UPSTAIRS" 10 0.976912521666667
"TimeOfBodyAccJerk-mean-Z" "WALKING_DOWNSTAIRS" 10 0.695882673888889
"TimeOfBodyAccJerk-mean-Z" "WALKING_DOWNSTAIRS" 12 0.784591195376344
"TimeOfBodyAccJerk-mean-Z" "SITTING" 12 0.652152950791045
"TimeOfBodyAccJerk-mean-Z" "SITTING" 13 0.751028180122324
"TimeOfBodyAccJerk-mean-Z" "SITTING" 18 0.975842864666667
"TimeOfBodyAccJerk-mean-Z" "STANDING" 18 0.855986847508982
"TimeOfBodyAccJerk-mean-Z" "STANDING" 20 0.773978617676768
"TimeOfBodyAccJerk-mean-Z" "LAYING" 20 0.70755261771859
"TimeOfBodyAccJerk-mean-Z" "LAYING" 24 0.784819620425197
"TimeOfBodyAccJerk-std-X" "WALKING" 2 0.806334861490066
"TimeOfBodyAccJerk-std-X" "WALKING" 4 0.935054280824742
"TimeOfBodyAccJerk-std-X" "WALKING_UPSTAIRS" 4 0.913329529105691
"TimeOfBodyAccJerk-std-X" "WALKING_UPSTAIRS" 9 0.845670797708333
"TimeOfBodyAccJerk-std-X" "WALKING_UPSTAIRS" 10 0.985967863666667
"TimeOfBodyAccJerk-std-X" "WALKING_DOWNSTAIRS" 10 0.770807143290598
"TimeOfBodyAccJerk-std-X" "WALKING_DOWNSTAIRS" 12 0.85688671483871
"TimeOfBodyAccJerk-std-X" "SITTING" 12 0.826934224402985
"TimeOfBodyAccJerk-std-X" "SITTING" 13 0.759534479883792
"TimeOfBodyAccJerk-std-X" "SITTING" 18 0.993245532333333
"TimeOfBodyAccJerk-std-X" "STANDING" 18 0.912691179131737
"TimeOfBodyAccJerk-std-X" "STANDING" 20 0.749170240323232
"TimeOfBodyAccJerk-std-X" "LAYING" 20 0.689014086608974
"TimeOfBodyAccJerk-std-X" "LAYING" 24 0.830211286850394
"TimeOfBodyAccJerk-std-Y" "WALKING" 2 0.75480923910596
"TimeOfBodyAccJerk-std-Y" "WALKING" 4 0.829045508505155
"TimeOfBodyAccJerk-std-Y" "WALKING_UPSTAIRS" 4 0.740536445691057
"TimeOfBodyAccJerk-std-Y" "WALKING_UPSTAIRS" 9 0.819717772777778
"TimeOfBodyAccJerk-std-Y" "WALKING_UPSTAIRS" 10 0.9838134365
"TimeOfBodyAccJerk-std-Y" "WALKING_DOWNSTAIRS" 10 0.717142524273504
"TimeOfBodyAccJerk-std-Y" "WALKING_DOWNSTAIRS" 12 0.816974970430108
"TimeOfBodyAccJerk-std-Y" "SITTING" 12 0.780985227313433
"TimeOfBodyAccJerk-std-Y" "SITTING" 13 0.774416625107034
"TimeOfBodyAccJerk-std-Y" "SITTING" 18 0.984848668
"TimeOfBodyAccJerk-std-Y" "STANDING" 18 0.875850393413174
"TimeOfBodyAccJerk-std-Y" "STANDING" 20 0.77767007510101
"TimeOfBodyAccJerk-std-Y" "LAYING" 20 0.636972547339744
"TimeOfBodyAccJerk-std-Y" "LAYING" 24 0.834994886771654
"TimeOfBodyAccJerk-std-Z" "WALKING" 2 -0.745335283278146
"TimeOfBodyAccJerk-std-Z" "WALKING" 4 -0.849344508814433
"TimeOfBodyAccJerk-std-Z" "WALKING_UPSTAIRS" 4 -0.774613758780488
"TimeOfBodyAccJerk-std-Z" "WALKING_UPSTAIRS" 9 -0.768409652569444
"TimeOfBodyAccJerk-std-Z" "WALKING_UPSTAIRS" 10 -0.984983361333333
"TimeOfBodyAccJerk-std-Z" "WALKING_DOWNSTAIRS" 10 -0.67225855465812
"TimeOfBodyAccJerk-std-Z" "WALKING_DOWNSTAIRS" 12 -0.80930790344086
"TimeOfBodyAccJerk-std-Z" "SITTING" 12 -0.736885005522388
"TimeOfBodyAccJerk-std-Z" "SITTING" 13 -0.725819806207951
"TimeOfBodyAccJerk-std-Z" "SITTING" 18 -0.986976077666667
"TimeOfBodyAccJerk-std-Z" "STANDING" 18 -0.850156119520958
"TimeOfBodyAccJerk-std-Z" "STANDING" 20 -0.739415065858586
"TimeOfBodyAccJerk-std-Z" "LAYING" 20 -0.632192298020513
"TimeOfBodyAccJerk-std-Z" "LAYING" 24 -0.795248594829396
"TimeOfBodyGyro-mean-X" "WALKING" 2 -0.774345884943709
"TimeOfBodyGyro-mean-X" "WALKING" 4 -0.862132340051546
"TimeOfBodyGyro-mean-X" "WALKING_UPSTAIRS" 4 -0.74498584203252
"TimeOfBodyGyro-mean-X" "WALKING_UPSTAIRS" 9 -0.762463475302083
"TimeOfBodyGyro-mean-X" "WALKING_UPSTAIRS" 10 -0.994333910666667
"TimeOfBodyGyro-mean-X" "WALKING_DOWNSTAIRS" 10 -0.673204389824786
"TimeOfBodyGyro-mean-X" "WALKING_DOWNSTAIRS" 12 -0.833853812204301
"TimeOfBodyGyro-mean-X" "SITTING" 12 -0.738687387462686
"TimeOfBodyGyro-mean-X" "SITTING" 13 -0.787066494556575
"TimeOfBodyGyro-mean-X" "SITTING" 18 -0.998456746
"TimeOfBodyGyro-mean-X" "STANDING" 18 -0.862203811197605
"TimeOfBodyGyro-mean-X" "STANDING" 20 -0.779970837212121
"TimeOfBodyGyro-mean-X" "LAYING" 20 -0.687588088878205
"TimeOfBodyGyro-mean-X" "LAYING" 24 -0.842773503648294
"TimeOfBodyGyro-mean-Y" "WALKING" 2 -0.732770948211921
"TimeOfBodyGyro-mean-Y" "WALKING" 4 -0.745524142912371
"TimeOfBodyGyro-mean-Y" "WALKING_UPSTAIRS" 4 -0.58958690127561
"TimeOfBodyGyro-mean-Y" "WALKING_UPSTAIRS" 9 -0.693648734072917
"TimeOfBodyGyro-mean-Y" "WALKING_UPSTAIRS" 10 -0.956524933833333
"TimeOfBodyGyro-mean-Y" "WALKING_DOWNSTAIRS" 10 -0.575522796114957
"TimeOfBodyGyro-mean-Y" "WALKING_DOWNSTAIRS" 12 -0.75666363605
"TimeOfBodyGyro-mean-Y" "SITTING" 12 -0.668973722619403
"TimeOfBodyGyro-mean-Y" "SITTING" 13 -0.695387203428135
"TimeOfBodyGyro-mean-Y" "SITTING" 18 -0.970679378
"TimeOfBodyGyro-mean-Y" "STANDING" 18 -0.785069066167665
"TimeOfBodyGyro-mean-Y" "STANDING" 20 -0.717652453767677
"TimeOfBodyGyro-mean-Y" "LAYING" 20 -0.634014105358333
"TimeOfBodyGyro-mean-Y" "LAYING" 24 -0.776277362598425
"TimeOfBodyGyro-mean-Z" "WALKING" 2 0.141015697466225
"TimeOfBodyGyro-mean-Z" "WALKING" 4 0.161482659371134
"TimeOfBodyGyro-mean-Z" "WALKING_UPSTAIRS" 4 0.352729922837398
"TimeOfBodyGyro-mean-Z" "WALKING_UPSTAIRS" 9 0.279318626920208
"TimeOfBodyGyro-mean-Z" "WALKING_UPSTAIRS" 10 -0.539138533666667
"TimeOfBodyGyro-mean-Z" "WALKING_DOWNSTAIRS" 10 0.314168500963248
"TimeOfBodyGyro-mean-Z" "WALKING_DOWNSTAIRS" 12 0.16467549808172
"TimeOfBodyGyro-mean-Z" "SITTING" 12 0.266408439552239
"TimeOfBodyGyro-mean-Z" "SITTING" 13 0.139086063853211
"TimeOfBodyGyro-mean-Z" "SITTING" 18 -0.3967800755
"TimeOfBodyGyro-mean-Z" "STANDING" 18 0.059525784760479
"TimeOfBodyGyro-mean-Z" "STANDING" 20 0.137689750191919
"TimeOfBodyGyro-mean-Z" "LAYING" 20 0.174322628994872
"TimeOfBodyGyro-mean-Z" "LAYING" 24 0.106716019721785
"TimeOfBodyGyro-std-X" "WALKING" 2 -0.590041341054636
"TimeOfBodyGyro-std-X" "WALKING" 4 -0.698375750231959
"TimeOfBodyGyro-std-X" "WALKING_UPSTAIRS" 4 -0.550136394154472
"TimeOfBodyGyro-std-X" "WALKING_UPSTAIRS" 9 -0.671451167535069
"TimeOfBodyGyro-std-X" "WALKING_UPSTAIRS" 10 -0.9482599375
"TimeOfBodyGyro-std-X" "WALKING_DOWNSTAIRS" 10 -0.563494334290598
"TimeOfBodyGyro-std-X" "WALKING_DOWNSTAIRS" 12 -0.744966080913978
"TimeOfBodyGyro-std-X" "SITTING" 12 -0.579426121907463
"TimeOfBodyGyro-std-X" "SITTING" 13 -0.594651965791132
"TimeOfBodyGyro-std-X" "SITTING" 18 -0.947420646666667
"TimeOfBodyGyro-std-X" "STANDING" 18 -0.691350469790419
"TimeOfBodyGyro-std-X" "STANDING" 20 -0.59338472174596
"TimeOfBodyGyro-std-X" "LAYING" 20 -0.446704804489744
"TimeOfBodyGyro-std-X" "LAYING" 24 -0.718872099396325
"TimeOfBodyGyro-std-Y" "WALKING" 2 0.0635219913816225
"TimeOfBodyGyro-std-Y" "WALKING" 4 -0.0794107947221649
"TimeOfBodyGyro-std-Y" "WALKING_UPSTAIRS" 4 -0.0730171012934959
"TimeOfBodyGyro-std-Y" "WALKING_UPSTAIRS" 9 -0.176989520315278
"TimeOfBodyGyro-std-Y" "WALKING_UPSTAIRS" 10 0.1551405275745
"TimeOfBodyGyro-std-Y" "WALKING_DOWNSTAIRS" 10 0.000349820320196582
"TimeOfBodyGyro-std-Y" "WALKING_DOWNSTAIRS" 12 -0.0550702766576882
"TimeOfBodyGyro-std-Y" "SITTING" 12 -0.0191827042798507
"TimeOfBodyGyro-std-Y" "SITTING" 13 -0.0708377281671865
"TimeOfBodyGyro-std-Y" "SITTING" 18 -0.11812862773
"TimeOfBodyGyro-std-Y" "STANDING" 18 -0.0879533077997006
"TimeOfBodyGyro-std-Y" "STANDING" 20 -0.0551745589310253
"TimeOfBodyGyro-std-Y" "LAYING" 20 -0.0670244768724359
"TimeOfBodyGyro-std-Y" "LAYING" 24 -0.121370870507087
"TimeOfBodyGyro-std-Z" "WALKING" 2 -0.0769758413990066
"TimeOfBodyGyro-std-Z" "WALKING" 4 0.068492939492165
"TimeOfBodyGyro-std-Z" "WALKING_UPSTAIRS" 4 0.0512658310173171
"TimeOfBodyGyro-std-Z" "WALKING_UPSTAIRS" 9 0.0970062979444444
"TimeOfBodyGyro-std-Z" "WALKING_UPSTAIRS" 10 -0.149010197133333
"TimeOfBodyGyro-std-Z" "WALKING_DOWNSTAIRS" 10 -0.0463833789030769
"TimeOfBodyGyro-std-Z" "WALKING_DOWNSTAIRS" 12 0.00133477276666667
"TimeOfBodyGyro-std-Z" "SITTING" 12 0.00256806383059702
"TimeOfBodyGyro-std-Z" "SITTING" 13 0.0293043543535168
"TimeOfBodyGyro-std-Z" "SITTING" 18 0.0429374287633333
"TimeOfBodyGyro-std-Z" "STANDING" 18 0.0360411968719401
"TimeOfBodyGyro-std-Z" "STANDING" 20 0.00291452840823232
"TimeOfBodyGyro-std-Z" "LAYING" 20 0.0442433689858974
"TimeOfBodyGyro-std-Z" "LAYING" 24 0.0750695845065617
"TimeOfBodyGyroJerk-mean-X" "WALKING" 2 -0.698416859900662
"TimeOfBodyGyroJerk-mean-X" "WALKING" 4 -0.776886185309278
"TimeOfBodyGyroJerk-mean-X" "WALKING_UPSTAIRS" 4 -0.682407339756097
"TimeOfBodyGyroJerk-mean-X" "WALKING_UPSTAIRS" 9 -0.68718306415625
"TimeOfBodyGyroJerk-mean-X" "WALKING_UPSTAIRS" 10 -0.952833007333333
"TimeOfBodyGyroJerk-mean-X" "WALKING_DOWNSTAIRS" 10 -0.583052988487179
"TimeOfBodyGyroJerk-mean-X" "WALKING_DOWNSTAIRS" 12 -0.74114072516129
"TimeOfBodyGyroJerk-mean-X" "SITTING" 12 -0.686399928402985
"TimeOfBodyGyroJerk-mean-X" "SITTING" 13 -0.649097038195719
"TimeOfBodyGyroJerk-mean-X" "SITTING" 18 -0.961944202666667
"TimeOfBodyGyroJerk-mean-X" "STANDING" 18 -0.783915718203593
"TimeOfBodyGyroJerk-mean-X" "STANDING" 20 -0.645284054316162
"TimeOfBodyGyroJerk-mean-X" "LAYING" 20 -0.547121331005128
"TimeOfBodyGyroJerk-mean-X" "LAYING" 24 -0.75532936664042
"TimeOfBodyGyroJerk-mean-Y" "WALKING" 2 -0.735091751778146
"TimeOfBodyGyroJerk-mean-Y" "WALKING" 4 -0.765202367480928
"TimeOfBodyGyroJerk-mean-Y" "WALKING_UPSTAIRS" 4 -0.699101936682114
"TimeOfBodyGyroJerk-mean-Y" "WALKING_UPSTAIRS" 9 -0.638352681215278
"TimeOfBodyGyroJerk-mean-Y" "WALKING_UPSTAIRS" 10 -0.947573785166667
"TimeOfBodyGyroJerk-mean-Y" "WALKING_DOWNSTAIRS" 10 -0.59452100349359
"TimeOfBodyGyroJerk-mean-Y" "WALKING_DOWNSTAIRS" 12 -0.735097810784946
"TimeOfBodyGyroJerk-mean-Y" "SITTING" 12 -0.72273715788806
"TimeOfBodyGyroJerk-mean-Y" "SITTING" 13 -0.719313125544342
"TimeOfBodyGyroJerk-mean-Y" "SITTING" 18 -0.974861433333333
"TimeOfBodyGyroJerk-mean-Y" "STANDING" 18 -0.758590668619222
"TimeOfBodyGyroJerk-mean-Y" "STANDING" 20 -0.716747741823232
